venous_r,caSys_O2sat,cvSys_O2sat,pcv,paosys,bgDO2,cvSys_pO2,paoavg,left flow,ecmoUnitFlow,ecmop2
369.14,99.03,78.84,5.1,126.08,1014.66,43.19,87.52,0.87,6.49,96.66
370.34,99.02,78.79,5.1,126.01,1013.52,43.15,87.45,0.86,6.43,96.44
371.54,99.02,78.79,5.1,126.01,1013.52,43.15,87.45,0.86,6.43,96.44
372.75,99.01,78.74,5.11,125.93,1012.11,43.09,87.36,0.85,6.37,96.2
373.95,99.01,78.74,5.11,125.93,1012.11,43.09,87.36,0.85,6.37,96.2
375.15,98.99,78.69,5.11,125.86,1010.92,43.05,87.29,0.84,6.31,95.98
376.35,98.99,78.69,5.11,125.86,1010.92,43.05,87.29,0.84,6.31,95.98
377.56,98.98,78.66,5.11,125.8,1009.82,43.03,87.23,0.83,6.26,95.75
378.76,98.98,78.66,5.11,125.8,1009.82,43.03,87.23,0.83,6.26,95.75
379.96,98.98,78.66,5.11,125.8,1009.82,43.03,87.23,0.83,6.26,95.75
381.16,98.98,78.65,5.11,125.78,1009.55,43.02,87.21,0.83,6.25,95.7
382.36,98.98,78.65,5.11,125.78,1009.55,43.02,87.21,0.83,6.25,95.7
383.57,98.98,78.61,5.11,125.7,1008.58,42.98,87.13,0.82,6.19,95.48
384.77,98.98,78.61,5.11,125.7,1008.58,42.98,87.13,0.82,6.19,95.48
385.97,98.97,78.57,5.11,125.65,1007.91,42.94,87.08,0.82,6.16,95.36
387.17,98.97,78.57,5.11,125.65,1007.91,42.94,87.08,0.82,6.16,95.36
388.38,98.96,78.52,5.11,125.61,1007.14,42.9,87.04,0.81,6.12,95.24
389.58,98.96,78.52,5.11,125.61,1007.14,42.9,87.04,0.81,6.12,95.24
390.78,98.96,78.5,5.11,125.58,1006.72,42.88,87.01,0.81,6.1,95.16
391.98,98.96,78.5,5.11,125.58,1006.72,42.88,87.01,0.81,6.1,95.16
393.19,98.96,78.49,5.11,125.54,1006.33,42.87,86.97,0.81,6.07,95.05
394.39,98.96,78.49,5.11,125.54,1006.33,42.87,86.97,0.81,6.07,95.05
395.59,98.96,78.49,5.11,125.52,1006.09,42.87,86.96,0.81,6.06,94.99
396.79,98.96,78.49,5.11,125.52,1006.09,42.87,86.96,0.81,6.06,94.99
398.0,98.96,78.49,5.11,125.5,1005.78,42.87,86.94,0.8,6.04,94.94
399.2,98.96,78.49,5.11,125.5,1005.78,42.87,86.94,0.8,6.04,94.94
400.4,98.95,78.49,5.11,125.48,1005.48,42.87,86.92,0.8,6.03,94.89
401.6,98.95,78.49,5.11,125.48,1005.48,42.87,86.92,0.8,6.03,94.89
402.81,98.95,78.49,5.11,125.46,1005.23,42.87,86.9,0.8,6.02,94.84
404.01,98.95,78.49,5.11,125.46,1005.23,42.87,86.9,0.8,6.02,94.84
405.21,98.95,78.49,5.11,125.46,1005.1,42.87,86.9,0.8,6.01,94.82
406.41,98.95,78.49,5.11,125.46,1005.1,42.87,86.9,0.8,6.01,94.82
407.62,98.94,78.49,5.11,125.45,1004.95,42.87,86.89,0.8,6.01,94.8
408.82,98.94,78.49,5.11,125.45,1004.95,42.87,86.89,0.8,6.01,94.8
410.02,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
411.22,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
412.42,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
413.63,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
414.83,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
416.03,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
417.23,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
418.44,98.95,78.49,5.11,125.45,1005.01,42.87,86.89,0.8,6.01,94.8
419.64,98.95,78.49,5.11,125.45,1005.01,42.87,86.89,0.8,6.01,94.8
420.84,98.95,78.49,5.11,125.45,1005.01,42.87,86.89,0.8,6.01,94.8
422.04,98.95,78.49,5.11,125.45,1005.01,42.87,86.89,0.8,6.01,94.8
423.25,98.94,78.49,5.11,125.45,1004.94,42.87,86.89,0.8,6.01,94.8
424.45,98.94,78.49,5.11,125.45,1004.94,42.87,86.89,0.8,6.01,94.8
425.65,98.94,78.49,5.11,125.45,1004.88,42.87,86.89,0.8,6.01,94.8
426.85,98.94,78.49,5.11,125.45,1004.88,42.87,86.89,0.8,6.01,94.8
428.06,98.93,78.49,5.11,125.45,1004.73,42.87,86.89,0.8,6.01,94.8
429.26,98.93,78.49,5.11,125.45,1004.73,42.87,86.89,0.8,6.01,94.8
430.46,98.92,78.49,5.11,125.45,1004.67,42.87,86.89,0.8,6.01,94.8
431.66,98.92,78.49,5.11,125.45,1004.67,42.87,86.89,0.8,6.01,94.8
432.87,98.92,78.49,5.11,125.45,1004.65,42.87,86.89,0.8,6.01,94.8
434.07,98.92,78.49,5.11,125.45,1004.65,42.87,86.89,0.8,6.01,94.8
435.27,98.93,78.49,5.11,125.45,1004.79,42.87,86.89,0.8,6.01,94.8
436.47,98.93,78.49,5.11,125.45,1004.79,42.87,86.89,0.8,6.01,94.8
437.68,98.95,78.49,5.11,125.45,1005.08,42.87,86.89,0.8,6.01,94.8
438.88,98.95,78.49,5.11,125.45,1005.08,42.87,86.89,0.8,6.01,94.8
440.08,98.96,78.49,5.11,125.45,1005.14,42.87,86.89,0.8,6.01,94.8
441.28,98.96,78.49,5.11,125.45,1005.14,42.87,86.89,0.8,6.01,94.8
442.48,98.96,78.49,5.11,125.45,1005.14,42.87,86.89,0.8,6.01,94.8
443.69,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
444.89,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
446.09,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
447.29,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
448.5,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
449.7,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
450.9,98.93,78.49,5.11,125.45,1004.72,42.87,86.89,0.8,6.01,94.8
452.1,98.93,78.49,5.11,125.45,1004.72,42.87,86.89,0.8,6.01,94.8
453.31,98.93,78.49,5.11,125.45,1004.69,42.87,86.89,0.8,6.01,94.8
454.51,98.93,78.49,5.11,125.45,1004.69,42.87,86.89,0.8,6.01,94.8
455.71,98.93,78.49,5.11,125.45,1004.79,42.87,86.89,0.8,6.01,94.8
456.91,98.93,78.49,5.11,125.45,1004.79,42.87,86.89,0.8,6.01,94.8
458.12,98.95,78.49,5.11,125.45,1005.12,42.87,86.89,0.8,6.01,94.8
459.32,98.95,78.49,5.11,125.45,1005.12,42.87,86.89,0.8,6.01,94.8
460.52,98.96,78.49,5.11,125.45,1005.16,42.87,86.89,0.8,6.01,94.8
461.72,98.96,78.49,5.11,125.45,1005.16,42.87,86.89,0.8,6.01,94.8
462.93,98.95,78.49,5.11,125.45,1004.94,42.87,86.89,0.8,6.01,94.8
464.13,98.95,78.49,5.11,125.45,1004.94,42.87,86.89,0.8,6.01,94.8
465.33,98.94,78.49,5.11,125.45,1004.83,42.87,86.89,0.8,6.01,94.8
466.53,98.94,78.49,5.11,125.45,1004.83,42.87,86.89,0.8,6.01,94.8
467.74,98.93,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
468.94,98.93,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
470.14,98.93,78.49,5.11,125.45,1004.77,42.87,86.89,0.8,6.01,94.8
471.34,98.93,78.49,5.11,125.45,1004.77,42.87,86.89,0.8,6.01,94.8
472.55,98.93,78.49,5.11,125.45,1004.72,42.87,86.89,0.8,6.01,94.8
473.75,98.93,78.49,5.11,125.45,1004.72,42.87,86.89,0.8,6.01,94.8
474.95,98.93,78.49,5.11,125.45,1004.72,42.87,86.89,0.8,6.01,94.8
476.15,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
477.35,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
478.56,98.95,78.49,5.11,125.45,1005.13,42.87,86.89,0.8,6.01,94.8
479.76,98.95,78.49,5.11,125.45,1005.13,42.87,86.89,0.8,6.01,94.8
480.96,98.96,78.49,5.11,125.45,1005.18,42.87,86.89,0.8,6.01,94.8
482.16,98.96,78.49,5.11,125.45,1005.18,42.87,86.89,0.8,6.01,94.8
483.37,98.95,78.49,5.11,125.45,1004.99,42.87,86.89,0.8,6.01,94.8
484.57,98.95,78.49,5.11,125.45,1004.99,42.87,86.89,0.8,6.01,94.8
485.77,98.94,78.49,5.11,125.45,1004.89,42.87,86.89,0.8,6.01,94.8
486.97,98.94,78.49,5.11,125.45,1004.89,42.87,86.89,0.8,6.01,94.8
488.18,98.93,78.49,5.11,125.45,1004.79,42.87,86.89,0.8,6.01,94.8
489.38,98.93,78.49,5.11,125.45,1004.79,42.87,86.89,0.8,6.01,94.8
490.58,98.93,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
491.78,98.93,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
492.99,98.95,78.49,5.11,125.45,1005.02,42.87,86.89,0.8,6.01,94.8
494.19,98.95,78.49,5.11,125.45,1005.02,42.87,86.89,0.8,6.01,94.8
495.39,98.95,78.49,5.11,125.45,1005.05,42.87,86.89,0.8,6.01,94.8
496.59,98.95,78.49,5.11,125.45,1005.05,42.87,86.89,0.8,6.01,94.8
497.8,98.94,78.49,5.11,125.45,1004.88,42.87,86.89,0.8,6.01,94.8
499.0,98.94,78.49,5.11,125.45,1004.88,42.87,86.89,0.8,6.01,94.8
500.2,98.94,78.49,5.11,125.45,1004.88,42.87,86.89,0.8,6.01,94.8
501.4,98.94,78.49,5.11,125.45,1004.88,42.87,86.89,0.8,6.01,94.8
502.61,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
503.81,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
505.01,98.94,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
506.21,98.94,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
507.41,98.94,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
508.62,98.94,78.49,5.11,125.45,1004.8,42.87,86.89,0.8,6.01,94.8
509.82,98.94,78.49,5.11,125.45,1004.8,42.87,86.89,0.8,6.01,94.8
511.02,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
512.22,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
513.43,98.94,78.49,5.11,125.45,1004.83,42.87,86.89,0.8,6.01,94.8
514.63,98.94,78.49,5.11,125.45,1004.83,42.87,86.89,0.8,6.01,94.8
515.83,98.95,78.49,5.11,125.45,1004.96,42.87,86.89,0.8,6.01,94.8
517.03,98.95,78.49,5.11,125.45,1004.96,42.87,86.89,0.8,6.01,94.8
518.24,98.95,78.49,5.11,125.45,1004.96,42.87,86.89,0.8,6.01,94.8
519.44,98.95,78.49,5.11,125.45,1004.96,42.87,86.89,0.8,6.01,94.8
520.64,98.95,78.49,5.11,125.45,1004.97,42.87,86.89,0.8,6.01,94.8
521.84,98.95,78.49,5.11,125.45,1004.97,42.87,86.89,0.8,6.01,94.8
523.05,98.95,78.49,5.11,125.45,1004.97,42.87,86.89,0.8,6.01,94.8
524.25,98.95,78.49,5.11,125.45,1004.97,42.87,86.89,0.8,6.01,94.8
525.45,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
526.65,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
527.86,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
529.06,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
530.26,98.94,78.49,5.11,125.45,1004.87,42.87,86.89,0.8,6.01,94.8
531.46,98.94,78.49,5.11,125.45,1004.87,42.87,86.89,0.8,6.01,94.8
532.67,98.94,78.49,5.11,125.45,1004.87,42.87,86.89,0.8,6.01,94.8
533.87,98.94,78.49,5.11,125.45,1004.87,42.87,86.89,0.8,6.01,94.8
535.07,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
536.27,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
537.47,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
538.68,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
539.88,98.93,78.49,5.11,125.45,1004.76,42.87,86.89,0.8,6.01,94.8
541.08,98.93,78.49,5.11,125.45,1004.77,42.87,86.89,0.8,6.01,94.8
542.28,98.93,78.49,5.11,125.45,1004.77,42.87,86.89,0.8,6.01,94.8
543.49,98.93,78.49,5.11,125.45,1004.77,42.87,86.89,0.8,6.01,94.8
544.69,98.93,78.49,5.11,125.45,1004.77,42.87,86.89,0.8,6.01,94.8
545.89,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
547.09,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
548.3,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
549.5,98.94,78.49,5.11,125.45,1004.91,42.87,86.89,0.8,6.01,94.8
550.7,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
551.9,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
553.11,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
554.31,98.94,78.49,5.11,125.45,1004.92,42.87,86.89,0.8,6.01,94.8
555.51,98.93,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
556.71,98.93,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
557.92,98.93,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
559.12,98.93,78.49,5.11,125.45,1004.81,42.87,86.89,0.8,6.01,94.8
560.32,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
561.52,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
562.73,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
563.93,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
565.13,98.95,78.49,5.11,125.45,1005.08,42.87,86.89,0.8,6.01,94.8
566.33,98.95,78.49,5.11,125.45,1005.08,42.87,86.89,0.8,6.01,94.8
567.54,98.95,78.49,5.11,125.45,1005.08,42.87,86.89,0.8,6.01,94.8
568.74,98.95,78.49,5.11,125.45,1005.08,42.87,86.89,0.8,6.01,94.8
569.94,98.95,78.49,5.11,125.45,1005.08,42.87,86.89,0.8,6.01,94.8
571.14,98.95,78.49,5.11,125.45,1005.09,42.87,86.89,0.8,6.01,94.8
572.34,98.95,78.49,5.11,125.45,1005.09,42.87,86.89,0.8,6.01,94.8
573.55,98.95,78.49,5.11,125.45,1005.09,42.87,86.89,0.8,6.01,94.8
574.75,98.95,78.49,5.11,125.45,1005.09,42.87,86.89,0.8,6.01,94.8
575.95,98.94,78.49,5.11,125.45,1004.9,42.87,86.89,0.8,6.01,94.8
577.15,98.94,78.49,5.11,125.45,1004.9,42.87,86.89,0.8,6.01,94.8
578.36,98.94,78.49,5.11,125.45,1004.9,42.87,86.89,0.8,6.01,94.8
579.56,98.94,78.49,5.11,125.45,1004.9,42.87,86.89,0.8,6.01,94.8
580.76,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
581.96,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
583.17,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
584.37,98.94,78.49,5.11,125.45,1004.85,42.87,86.89,0.8,6.01,94.8
585.57,98.93,78.49,5.11,125.45,1004.74,42.87,86.89,0.8,6.01,94.8
586.77,98.93,78.49,5.11,125.45,1004.74,42.87,86.89,0.8,6.01,94.8
587.98,98.93,78.49,5.11,125.45,1004.74,42.87,86.89,0.8,6.01,94.8
589.18,98.93,78.49,5.11,125.45,1004.74,42.87,86.89,0.8,6.01,94.8
590.38,98.93,78.49,5.11,125.45,1004.75,42.87,86.89,0.8,6.01,94.8
591.58,98.93,78.49,5.11,125.45,1004.75,42.87,86.89,0.8,6.01,94.8
592.79,98.93,78.49,5.11,125.45,1004.75,42.87,86.89,0.8,6.01,94.8
593.99,98.93,78.49,5.11,125.45,1004.75,42.87,86.89,0.8,6.01,94.8
595.19,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
596.39,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
597.6,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
598.8,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
600.0,98.94,78.49,5.11,125.45,1004.84,42.87,86.89,0.8,6.01,94.8
